"","id","gene_short_name","NA.","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value","significant_deg","hvg"
"46","ENSG00000188157","AGRN","Gene Expression","OK","shape_score",0.0848919,0.0076354,11.1181,2.75e-28,0.120166534665297,"count",3.795275e-24,TRUE,FALSE
"58","ENSG00000176022","B3GALT6","Gene Expression","OK","shape_score",0.0792611,0.0146658,5.4045,6.89e-08,0.10682776454575,"count",0.000852982,TRUE,FALSE
"314","ENSG00000097021","ACOT7","Gene Expression","OK","shape_score",-0.0904281,0.0057979,-15.5968,3.17e-53,-0.129443283543475,"count",4.494426e-49,TRUE,TRUE
"394","ENSG00000074800","ENO1","Gene Expression","OK","shape_score",-0.1192767,0.002545,-46.8679,0,-0.171986775730958,"count",0,TRUE,TRUE
"418","ENSG00000049239","H6PD","Gene Expression","OK","shape_score",0.1055332,0.0182168,5.7932,7.46e-09,0.134050121031611,"count",9.38095e-05,TRUE,FALSE
"730","ENSG00000117118","SDHB","Gene Expression","OK","shape_score",-0.0742514,0.0042843,-17.3311,7.51e-65,-0.106635529363237,"count",1.0697995e-60,TRUE,TRUE
"778","ENSG00000053372","MRTO4","Gene Expression","OK","shape_score",-0.098813,0.0074539,-13.2565,2.97e-39,-0.14067773887395,"count",4.168098e-35,TRUE,TRUE
"794","ENSG00000077549","CAPZB","Gene Expression","OK","shape_score",-0.0710579,0.0033456,-21.2391,9.43e-95,-0.102228528831976,"count",1.35792e-90,TRUE,TRUE
"834","ENSG00000244038","DDOST","Gene Expression","OK","shape_score",-0.0909353,0.0064117,-14.1826,1.53e-44,-0.129947493604798,"count",2.156382e-40,TRUE,TRUE
"870","ENSG00000142798","HSPG2","Gene Expression","OK","shape_score",0.0785904,0.0157633,4.9856,6.45e-07,0.104243355713307,"count",0.00782385,TRUE,FALSE
"958","ENSG00000117308","GALE","Gene Expression","OK","shape_score",-0.0758298,0.0056788,-13.3531,8.63e-40,-0.108549659201356,"count",1.2113931e-35,TRUE,TRUE
"1034","ENSG00000162430","SELENON","Gene Expression","OK","shape_score",0.0749113,0.0102308,7.3222,2.96e-13,0.104457254647811,"count",3.883224e-09,TRUE,FALSE
"1054","ENSG00000117632","STMN1","Gene Expression","OK","shape_score",-0.1015803,0.0030512,-33.2922,8.8e-214,-0.14645367033751,"count",1.280928e-209,TRUE,TRUE
"1122","ENSG00000090273","NUDC","Gene Expression","OK","shape_score",-0.1210013,0.0038878,-31.1237,7.11e-190,-0.174046585475156,"count",1.033794e-185,TRUE,TRUE
"1190","ENSG00000126698","DNAJC8","Gene Expression","OK","shape_score",-0.0898579,0.0041514,-21.6452,3.89e-98,-0.129103670814069,"count",5.606657e-94,TRUE,TRUE
"1270","ENSG00000162512","SDC3","Gene Expression","OK","shape_score",0.1061622,0.0185122,5.7347,1.05e-08,0.137489159115907,"count",0.0001317225,TRUE,FALSE
"1278","ENSG00000060688","SNRNP40","Gene Expression","OK","shape_score",-0.0822596,0.0079172,-10.3899,5.88e-25,-0.116816516667735,"count",8.063244e-21,TRUE,TRUE
"1298","ENSG00000121753","ADGRB2","Gene Expression","OK","shape_score",0.131042,0.0194937,6.7223,2.05e-11,0.166678144646228,"count",2.648805e-07,TRUE,FALSE
"1342","ENSG00000084623","EIF3I","Gene Expression","OK","shape_score",-0.092317,0.0034047,-27.1148,2.59e-148,-0.132843571948241,"count",3.756277e-144,TRUE,TRUE
"1350","ENSG00000116478","HDAC1","Gene Expression","OK","shape_score",-0.0725385,0.00848,-8.5541,1.69e-17,-0.102752926107201,"count",2.272205e-13,TRUE,TRUE
"1498","ENSG00000116863","ADPRHL2","Gene Expression","OK","shape_score",-0.0721007,0.0069099,-10.4344,3.73e-25,-0.102738493636984,"count",5.119052e-21,TRUE,TRUE
