"","p-value","Adjusted p-value","Significant (in gene set)","Non-significant (in gene set)","Significant (not in gene set)","Non-significant (not in gene set)","sig_genest_in_geneset","prop_genes"
"REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC",5.79893833495933e-10,1.24051798498836e-08,8,2,637,13949,"CCT4, CCT7, CCT5, TCP1, ACTB, CCT6A, CCT2, CCT8",0.8
"REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC",2.45292497566245e-16,7.64239217150131e-15,14,4,631,13947,"CCT4, CCT7, TUBA4A, CCT5, TUBB2A, TCP1, CCT6A, TUBB4B, TUBA1B, TUBA1A, TUBA1C, CCT2, TUBB6, CCT8",0.777777777777778
"REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE",3.40482976730389e-08,6.29604962055685e-07,7,3,638,13948,"TUBA4A, TUBB2A, TUBB4B, TUBA1B, TUBA1A, TUBA1C, TUBB6",0.7
"REACTOME_TELOMERE_EXTENSION_BY_TELOMERASE",5.27807294524941e-05,0.000693780431718928,4,2,641,13949,"RUVBL1, DKC1, WRAP53, RUVBL2",0.666666666666667
"KEGG_PROTEASOME",3.07394134786614e-27,2.23578000701464e-24,27,14,618,13937,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.658536585365854
"REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING",2.48675455626303e-16,7.64239217150131e-15,16,9,629,13942,"CCT4, CCT7, TUBA4A, CCT5, TUBB2A, TCP1, ACTB, CCT6A, VBP1, TUBB4B, TUBA1B, TUBA1A, TUBA1C, CCT2, TUBB6, CCT8",0.64
"REACTOME_GAP_JUNCTION_ASSEMBLY",9.00561318509766e-08,1.59758113576285e-06,7,4,638,13947,"TUBA4A, TUBB2A, TUBB4B, TUBA1B, TUBA1A, TUBA1C, TUBB6",0.636363636363636
"REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC",3.68695341943986e-15,9.93201526076269e-14,15,9,630,13942,"CCT4, CCT7, TUBA4A, CCT5, TUBB2A, TCP1, ACTB, CCT6A, VBP1, TUBB4B, TUBA1A, TUBA1C, CCT2, TUBB6, CCT8",0.625
"REACTOME_RECYCLING_OF_EIF2:GDP",8.31574815233445e-06,0.000123435118832611,5,3,640,13948,"EIF2B3, EIF2B4, EIF2B1, EIF2S1, EIF2B2",0.625
"REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES",5.28181824263134e-26,2.30498548108432e-23,27,17,618,13934,"PSMA5, PSMD4, PSMD14, PSMD6, PSMD2, PSMB1, PSMA2, PSMC2, PSMB7, PSMD13, PSMA1, PSMC3, PSME2, PSMA6, PSMC6, PSMA3, PSMC1, PSMA4, PSMB6, PSMD11, PSMB3, PSMD3, PSMD12, PSMF1, PSMA7, PSMD8, PSMC4",0.613636363636364
