"","sample","activated","expected.prop.miRFP","prop_miRFPpos","AUC_values","spec","sens","fpr","precision"
"1","U2OS activated_B01_008",TRUE,"10",0.127955033889899,0.938203724431644,0.989194312796209,0.851851851851852,0.0108056872037915,0.920428106095859
"2","U2OS activated_B02_009",TRUE,"50",0.54033518348871,0.921095421535581,0.983352872215709,0.829659918220804,0.0166471277842907,0.983217113816334
"3","U2OS activated_B03_010",TRUE,"0.4",0.0140313005936319,0.936378788753553,0.993103448275862,0.761538461538461,0.00689655172413793,0.611111111111111
"4","U2OS activated_B03_011",TRUE,"0.4",0.0133849379132398,0.955916369701005,0.993570883731067,0.779116465863454,0.0064291162689332,0.621794871794872
"5","U2OS activated_B04_012",TRUE,"2",0.0374693209708208,0.93215117088154,0.992917044424297,0.820960698689956,0.00708295557570263,0.818577648766328
"6","U2OS activated_B05_013",TRUE,"10",0.121809934969124,0.912767123262334,0.989607965152458,0.798115746971736,0.010392034847542,0.914182939362795
"7","U2OS activated_B06_014",TRUE,"50",0.542487215754543,0.90427577805814,0.978834720570749,0.798836742880064,0.0211652794292509,0.978143418467583
"8","U2OS activated_C01_015",TRUE,"2",0.0370750689077447,0.925098969959488,0.992198462142897,0.835276967930029,0.00780153785710277,0.804775280898876
"9","U2OS activated_C02_016",TRUE,"0.4",0.0146498202810151,0.994489109043165,0.993367600729564,0.799256505576208,0.00663239927043608,0.641791044776119
"10","U2OS activated_C03_017",TRUE,"50",0.546450716271114,0.887959380179482,0.985503830288745,0.782940428445662,0.0144961697112552,0.984865263935031
"11","U2OS activated_C04_018",TRUE,"10",0.125459877366036,0.922533876061266,0.989879283014267,0.824829931972789,0.0101207169857334,0.921177587844255
"12","U2OS activated_C05_019",TRUE,"2",0.0351029252437703,0.914486022048313,0.992196272176061,0.845679012345679,0.00780372782393892,0.797671033478894
"13","U2OS activated_C06_020",TRUE,"0.4",0.0143914473684211,0.942257217374718,0.990769712140175,0.821428571428571,0.00923028785982478,0.565110565110565
"14","U2OS C11 unactivated_A01_002",FALSE,"100",0.983245623456127,0.223901357602695,0.894230769230769,0.00354997269251775,0.105769230769231,0.663265306122449
"15","U2OS C11 unactivated_A02_003",FALSE,"100",0.551720395093889,0.577345189355373,0.992978208232446,0.00354121581743065,0.00702179176755448,0.382978723404255
"16","U2OS C11 unactivated_A02_004",FALSE,"50",0.55066942418635,0.570629180139767,0.993822674418605,0.00276734532516308,0.00617732558139535,0.354430379746835
"17","U2OS C11 unactivated_A03_005",FALSE,"10",0.1308273948757,0.559903747544357,0.993991738640631,0.00207900207900208,0.00600826135936913,0.0495049504950495
"18","U2OS C11 unactivated_A04_006",FALSE,"2",0.0411826240158564,0.590581477310054,0.994085558426644,0.0053475935828877,0.0059144415733563,0.0373831775700935
"19","U2OS C11 unactivated_A05_007",FALSE,"0.4",0.0163708521662441,0.582944084162355,0.994956287827841,0.00336700336700337,0.00504371217215871,0.010989010989011
"20","U2OS C11 unactivated_D03_021",FALSE,"50",0.0162632375189107,0.573256786732636,0.994068215521503,0.00664451827242525,0.00593178447849728,0.0181818181818182
"21","U2OS C11 unactivated_D04_022",FALSE,"0.4",0.0373006528952157,0.582931002235884,0.993996331091222,0.00430416068866571,0.00600366890877759,0.027027027027027
"22","U2OS C11 unactivated_D05_023",FALSE,"0.4",0.547828418230563,0.56152848460519,0.991817858413376,0.00401291964373104,0.00818214158662398,0.372727272727273
"23","U2OS C11 unactivated_D06_024",FALSE,"0",0.533352057295324,0.563670847856226,0.990370147457117,0.00289626119010005,0.00962985254288294,0.255813953488372
"24","U2OS gating sample_D02_001",FALSE,"50",0.128534145280557,0.578868566875582,0.993386573496381,0.00676818950930626,0.00661342650361867,0.131147540983607
