tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
63221	Homo sapiens neanderthalensis	6775087	0	live	12S rRNA		12S ribosomal RNA			MT	NC_011137.1	644	1597	plus	0		
741158	Homo sapiens subsp. 'Denisova'	8923213	0	live	12S rRNA		s-rRNA			MT	NC_013993.1	645	1598	plus	0		
741158	Homo sapiens subsp. 'Denisova'	8923219	0	live	16S rRNA		l-rRNA			MT	NC_013993.1	1668	3225	plus	0		
9606	Homo sapiens	4508	0	live	MT-ATP6	ATPase6, MTATP6, ATP6	mitochondrially encoded ATP synthase 6			MT	NC_012920.1	8527	9207	plus	0		
63221	Homo sapiens neanderthalensis	6775074	0	live	ATP6		ATP synthase F0 subunit 6	; ATP synthase F0 subunit 6		MT	NC_011137.1	8522	9202	plus	0		
741158	Homo sapiens subsp. 'Denisova'	8923188	0	live	ATP6		ATP synthase F0 subunit 6	; ATP synthase F0 subunit 6		MT	NC_013993.1	8529	9209	plus	0		
9606	Homo sapiens	4509	0	live	MT-ATP8	ATPase8, MTATP8, ATP8	mitochondrially encoded ATP synthase 8			MT	NC_012920.1	8366	8572	plus	0		
63221	Homo sapiens neanderthalensis	6775077	0	live	ATP8		ATP synthase F0 subunit 8	; ATP synthase F0 subunit 8		MT	NC_011137.1	8361	8567	plus	0		
741158	Homo sapiens subsp. 'Denisova'	8923211	0	live	ATP8		ATP synthase F0 subunit 8	; ATP synthase F0 subunit 8		MT	NC_013993.1	8368	8574	plus	0		
9606	Homo sapiens	4512	0	live	MT-CO1	COI, MTCO1, COX1	mitochondrially encoded cytochrome c oxidase I			MT	NC_012920.1	5904	7445	plus	0		
63221	Homo sapiens neanderthalensis	6775083	0	live	COX1		cytochrome c oxidase subunit I	; cytochrome c oxidase subunit I		MT	NC_011137.1	5899	7440	plus	0		
741158	Homo sapiens subsp. 'Denisova'	8923218	0	live	COX1		cytochrome c oxidase subunit I	; cytochrome c oxidase subunit I		MT	NC_013993.1	5906	7447	plus	0		
63221	Homo sapiens neanderthalensis	6775079	0	live	COX2		cytochrome c oxidase subunit II	; cytochrome c oxidase subunit II		MT	NC_011137.1	7581	8264	plus	0		
9606	Homo sapiens	4513	0	live	MT-CO2	COII, MTCO2, COX2	mitochondrially encoded cytochrome c oxidase II			MT	NC_012920.1	7586	8269	plus	0		
741158	Homo sapiens subsp. 'Denisova'	8923202	0	live	COX2		cytochrome c oxidase subunit II	; cytochrome c oxidase subunit II		MT	NC_013993.1	7588	8271	plus	0		
9606	Homo sapiens	4514	0	live	MT-CO3	COIII, MTCO3, COX3	mitochondrially encoded cytochrome c oxidase III	; cytochrome c oxidase III|cytochrome c oxidase subunit III		MT	NC_012920.1	9207	9990	plus	0		
